"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD","Quantity","QuantityToken","QtyUnit","NetWeight in KGM"
"S3","RWA","0572","Rwanda","ZAR","Congo, Dem. Rep.",2022,"Export",6,0,0,8,"Kg",0
"S3","RWA","0572","Rwanda","ZAR","Congo, Dem. Rep.",2022,"Gross Exp.",2,1.094,1920,8,"Kg",1920
"S3","RWA","0572","Rwanda","ZAR","Congo, Dem. Rep.",2022,"Re-Export",3,1.094,1920,8,"Kg",1920
"S3","RWA","0573","Rwanda","ARE","United Arab Emirates",2020,"Export",6,2.122,570,8,"Kg",570
"S3","RWA","0573","Rwanda","ARE","United Arab Emirates",2020,"Gross Exp.",2,2.122,570,8,"Kg",570
"S3","RWA","0573","Rwanda","ARE","United Arab Emirates",2021,"Export",6,5.073,2396,8,"Kg",2396
"S3","RWA","0573","Rwanda","ARE","United Arab Emirates",2021,"Gross Exp.",2,5.073,2396,8,"Kg",2396
"S3","RWA","0573","Rwanda","BEL","Belgium",2020,"Export",6,97.037,116503.6,8,"Kg",116504
"S3","RWA","0573","Rwanda","BEL","Belgium",2020,"Gross Exp.",2,97.037,116503.6,8,"Kg",116504
"S3","RWA","0573","Rwanda","BEL","Belgium",2021,"Export",6,131.74,8272.7,8,"Kg",8273
"S3","RWA","0573","Rwanda","BEL","Belgium",2021,"Gross Exp.",2,131.74,8272.7,8,"Kg",8273
"S3","RWA","0573","Rwanda","BEL","Belgium",2022,"Export",6,1.895,567,8,"Kg",567
"S3","RWA","0573","Rwanda","BEL","Belgium",2022,"Gross Exp.",2,1.895,567,8,"Kg",567
"S3","RWA","0573","Rwanda","CAF","Central African Republic",2021,"Export",6,0.049,235,8,"Kg",235
"S3","RWA","0573","Rwanda","CAF","Central African Republic",2021,"Gross Exp.",2,0.049,235,8,"Kg",235
"S3","RWA","0573","Rwanda","CHE","Switzerland",2022,"Export",6,0.329,60,8,"Kg",60
"S3","RWA","0573","Rwanda","CHE","Switzerland",2022,"Gross Exp.",2,0.329,60,8,"Kg",60
"S3","RWA","0573","Rwanda","CHE","Switzerland",2022,"Gross Imp.",1,0.01,1,8,"Kg",1
"S3","RWA","0573","Rwanda","CHE","Switzerland",2022,"Import",5,0.01,1,8,"Kg",1
"S3","RWA","0573","Rwanda","CHN","China",2020,"Gross Imp.",1,0.437,1000,8,"Kg",1000
"S3","RWA","0573","Rwanda","CHN","China",2020,"Import",5,0.437,1000,8,"Kg",1000
"S3","RWA","0573","Rwanda","DEU","Germany",2020,"Export",6,0.846,280.15,8,"Kg",280
"S3","RWA","0573","Rwanda","DEU","Germany",2020,"Gross Exp.",2,0.846,280.15,8,"Kg",280
"S3","RWA","0573","Rwanda","DEU","Germany",2021,"Export",6,26.307,11196,8,"Kg",11196
"S3","RWA","0573","Rwanda","DEU","Germany",2021,"Gross Exp.",2,26.307,11196,8,"Kg",11196
"S3","RWA","0573","Rwanda","DEU","Germany",2022,"Export",6,8.826,2625.5,8,"Kg",2626
"S3","RWA","0573","Rwanda","DEU","Germany",2022,"Gross Exp.",2,8.826,2625.5,8,"Kg",2626
"S3","RWA","0573","Rwanda","GBR","United Kingdom",2020,"Export",6,17.861,7807,8,"Kg",7807
"S3","RWA","0573","Rwanda","GBR","United Kingdom",2020,"Gross Exp.",2,17.861,7807,8,"Kg",7807
"S3","RWA","0573","Rwanda","GBR","United Kingdom",2021,"Export",6,37.659,18252,8,"Kg",18252
"S3","RWA","0573","Rwanda","GBR","United Kingdom",2021,"Gross Exp.",2,37.659,18252,8,"Kg",18252
"S3","RWA","0573","Rwanda","GBR","United Kingdom",2022,"Export",6,14.933,6692,8,"Kg",6692
"S3","RWA","0573","Rwanda","GBR","United Kingdom",2022,"Gross Exp.",2,14.933,6692,8,"Kg",6692
"S3","RWA","0573","Rwanda","KEN","Kenya",2022,"Gross Imp.",1,0.6,3139,8,"Kg",3139
"S3","RWA","0573","Rwanda","KEN","Kenya",2022,"Import",5,0.6,3139,8,"Kg",3139
"S3","RWA","0573","Rwanda","NLD","Netherlands",2020,"Export",6,4.72,4044,8,"Kg",4044
"S3","RWA","0573","Rwanda","NLD","Netherlands",2020,"Gross Exp.",2,4.72,4044,8,"Kg",4044
"S3","RWA","0573","Rwanda","NLD","Netherlands",2021,"Export",6,0.889,315,8,"Kg",315
"S3","RWA","0573","Rwanda","NLD","Netherlands",2021,"Gross Exp.",2,0.889,315,8,"Kg",315
"S3","RWA","0573","Rwanda","QAT","Qatar",2021,"Export",6,0.651,208,8,"Kg",208
"S3","RWA","0573","Rwanda","QAT","Qatar",2021,"Gross Exp.",2,0.651,208,8,"Kg",208
"S3","RWA","0573","Rwanda","QAT","Qatar",2022,"Export",6,0.151,44,8,"Kg",44
"S3","RWA","0573","Rwanda","QAT","Qatar",2022,"Gross Exp.",2,0.151,44,8,"Kg",44
"S3","RWA","0573","Rwanda","SWE","Sweden",2020,"Export",6,1.096,310,8,"Kg",310
"S3","RWA","0573","Rwanda","SWE","Sweden",2020,"Gross Exp.",2,1.096,310,8,"Kg",310
"S3","RWA","0573","Rwanda","SWE","Sweden",2021,"Export",6,0.601,236,8,"Kg",236
"S3","RWA","0573","Rwanda","SWE","Sweden",2021,"Gross Exp.",2,0.601,236,8,"Kg",236
"S3","RWA","0573","Rwanda","TZA","Tanzania",2020,"Gross Imp.",1,4.62,24500,8,"Kg",24500
"S3","RWA","0573","Rwanda","TZA","Tanzania",2020,"Import",5,4.62,24500,8,"Kg",24500
"S3","RWA","0573","Rwanda","TZA","Tanzania",2021,"Gross Imp.",1,9.95,63600,8,"Kg",63600
"S3","RWA","0573","Rwanda","TZA","Tanzania",2021,"Import",5,9.95,63600,8,"Kg",63600
"S3","RWA","0573","Rwanda","TZA","Tanzania",2022,"Gross Imp.",1,12.629,80830,8,"Kg",80830
"S3","RWA","0573","Rwanda","TZA","Tanzania",2022,"Import",5,12.629,80830,8,"Kg",80830
"S3","RWA","0573","Rwanda","UGA","Uganda",2022,"Gross Imp.",1,21.106,104159,8,"Kg",104159
"S3","RWA","0573","Rwanda","UGA","Uganda",2022,"Import",5,21.106,104159,8,"Kg",104159
"S3","RWA","0573","Rwanda","USA","United States",2021,"Export",6,0.022,64,8,"Kg",64
"S3","RWA","0573","Rwanda","USA","United States",2021,"Gross Exp.",2,0.022,64,8,"Kg",64
"S3","RWA","0573","Rwanda","WLD"," World",2020,"Export",6,123.879,129565.75,8,"Kg",129566
"S3","RWA","0573","Rwanda","WLD"," World",2020,"Gross Exp.",2,123.879,129565.75,8,"Kg",129566
"S3","RWA","0573","Rwanda","WLD"," World",2020,"Gross Imp.",1,5.056,25500,8,"Kg",25500
"S3","RWA","0573","Rwanda","WLD"," World",2020,"Import",5,5.056,25500,8,"Kg",25500
"S3","RWA","0573","Rwanda","WLD"," World",2021,"Export",6,202.991,41174.7,8,"Kg",41175
"S3","RWA","0573","Rwanda","WLD"," World",2021,"Gross Exp.",2,202.991,41174.7,8,"Kg",41175
"S3","RWA","0573","Rwanda","WLD"," World",2021,"Gross Imp.",1,9.95,63600,8,"Kg",63600
"S3","RWA","0573","Rwanda","WLD"," World",2021,"Import",5,9.95,63600,8,"Kg",63600
"S3","RWA","0573","Rwanda","WLD"," World",2022,"Export",6,26.134,9988.5,8,"Kg",9989
"S3","RWA","0573","Rwanda","WLD"," World",2022,"Gross Exp.",2,26.134,9988.5,8,"Kg",9989
"S3","RWA","0573","Rwanda","WLD"," World",2022,"Gross Imp.",1,43.452,221459,8,"Kg",221459
"S3","RWA","0573","Rwanda","WLD"," World",2022,"Import",5,43.452,221459,8,"Kg",221459
"S3","RWA","0573","Rwanda","ZAR","Congo, Dem. Rep.",2020,"Export",6,0.197,51,8,"Kg",51
"S3","RWA","0573","Rwanda","ZAR","Congo, Dem. Rep.",2020,"Gross Exp.",2,0.197,51,8,"Kg",51
"S3","RWA","0573","Rwanda","ZAR","Congo, Dem. Rep.",2022,"Gross Imp.",1,9.108,33330,8,"Kg",33330
"S3","RWA","0573","Rwanda","ZAR","Congo, Dem. Rep.",2022,"Import",5,9.108,33330,8,"Kg",33330
"S3","RWA","0574","Rwanda","ARE","United Arab Emirates",2022,"Gross Imp.",1,0.201,741.2,8,"Kg",741
"S3","RWA","0574","Rwanda","ARE","United Arab Emirates",2022,"Import",5,0.201,741.2,8,"Kg",741
"S3","RWA","0574","Rwanda","BEL","Belgium",2021,"Gross Imp.",1,0.232,20,8,"Kg",20
"S3","RWA","0574","Rwanda","BEL","Belgium",2021,"Import",5,0.232,20,8,"Kg",20
"S3","RWA","0574","Rwanda","BEL","Belgium",2022,"Gross Imp.",1,0.332,300,8,"Kg",300
"S3","RWA","0574","Rwanda","BEL","Belgium",2022,"Import",5,0.332,300,8,"Kg",300
"S3","RWA","0574","Rwanda","BRA","Brazil",2020,"Gross Imp.",1,12.009,23108.4,8,"Kg",23108
"S3","RWA","0574","Rwanda","BRA","Brazil",2020,"Import",5,12.009,23108.4,8,"Kg",23108
"S3","RWA","0574","Rwanda","BRA","Brazil",2021,"Gross Imp.",1,95.336,105840,8,"Kg",105840
"S3","RWA","0574","Rwanda","BRA","Brazil",2021,"Import",5,95.336,105840,8,"Kg",105840
"S3","RWA","0574","Rwanda","CHL","Chile",2020,"Gross Imp.",1,83.177,87017,8,"Kg",87017
"S3","RWA","0574","Rwanda","CHL","Chile",2020,"Import",5,83.177,87017,8,"Kg",87017
"S3","RWA","0574","Rwanda","CHL","Chile",2021,"Gross Imp.",1,73.233,64509,8,"Kg",64509
"S3","RWA","0574","Rwanda","CHL","Chile",2021,"Import",5,73.233,64509,8,"Kg",64509
"S3","RWA","0574","Rwanda","CHN","China",2020,"Gross Imp.",1,47.753,68612,8,"Kg",68612
"S3","RWA","0574","Rwanda","CHN","China",2020,"Import",5,47.753,68612,8,"Kg",68612
"S3","RWA","0574","Rwanda","CHN","China",2021,"Gross Imp.",1,32.519,45628,8,"Kg",45628
"S3","RWA","0574","Rwanda","CHN","China",2021,"Import",5,32.519,45628,8,"Kg",45628
"S3","RWA","0574","Rwanda","CHN","China",2022,"Gross Imp.",1,16.614,17920,8,"Kg",17920
"S3","RWA","0574","Rwanda","CHN","China",2022,"Import",5,16.614,17920,8,"Kg",17920
"S3","RWA","0574","Rwanda","DEU","Germany",2022,"Gross Imp.",1,1.008,396,8,"Kg",396
"S3","RWA","0574","Rwanda","DEU","Germany",2022,"Import",5,1.008,396,8,"Kg",396
"S3","RWA","0574","Rwanda","EGY","Egypt, Arab Rep.",2021,"Gross Imp.",1,21.364,26880,8,"Kg",26880
"S3","RWA","0574","Rwanda","EGY","Egypt, Arab Rep.",2021,"Import",5,21.364,26880,8,"Kg",26880
"S3","RWA","0574","Rwanda","EGY","Egypt, Arab Rep.",2022,"Gross Imp.",1,0.047,40,8,"Kg",40
"S3","RWA","0574","Rwanda","EGY","Egypt, Arab Rep.",2022,"Import",5,0.047,40,8,"Kg",40
"S3","RWA","0574","Rwanda","ESP","Spain",2020,"Gross Imp.",1,67.619,64233,8,"Kg",64233
"S3","RWA","0574","Rwanda","ESP","Spain",2020,"Import",5,67.619,64233,8,"Kg",64233
"S3","RWA","0574","Rwanda","FRA","France",2020,"Gross Imp.",1,20.473,23633,8,"Kg",23633
"S3","RWA","0574","Rwanda","FRA","France",2020,"Import",5,20.473,23633,8,"Kg",23633
"S3","RWA","0574","Rwanda","GRC","Greece",2022,"Gross Imp.",1,14.261,23240,8,"Kg",23240
"S3","RWA","0574","Rwanda","GRC","Greece",2022,"Import",5,14.261,23240,8,"Kg",23240
"S3","RWA","0574","Rwanda","ITA","Italy",2020,"Gross Imp.",1,71.654,69960,8,"Kg",69960
"S3","RWA","0574","Rwanda","ITA","Italy",2020,"Import",5,71.654,69960,8,"Kg",69960
"S3","RWA","0574","Rwanda","ITA","Italy",2021,"Gross Imp.",1,48.954,46940,8,"Kg",46940
"S3","RWA","0574","Rwanda","ITA","Italy",2021,"Import",5,48.954,46940,8,"Kg",46940
"S3","RWA","0574","Rwanda","KEN","Kenya",2022,"Gross Imp.",1,37.936,20805.26,8,"Kg",20805
"S3","RWA","0574","Rwanda","KEN","Kenya",2022,"Import",5,37.936,20805.26,8,"Kg",20805
"S3","RWA","0574","Rwanda","NZL","New Zealand",2020,"Gross Imp.",1,28.822,46080.2,8,"Kg",46080
"S3","RWA","0574","Rwanda","NZL","New Zealand",2020,"Import",5,28.822,46080.2,8,"Kg",46080
"S3","RWA","0574","Rwanda","SAU","Saudi Arabia",2022,"Gross Imp.",1,2.071,1786,8,"Kg",1786
"S3","RWA","0574","Rwanda","SAU","Saudi Arabia",2022,"Import",5,2.071,1786,8,"Kg",1786
"S3","RWA","0574","Rwanda","SER","Serbia, FR(Serbia/Montenegro)",2022,"Gross Imp.",1,46.705,40320,8,"Kg",40320
"S3","RWA","0574","Rwanda","SER","Serbia, FR(Serbia/Montenegro)",2022,"Import",5,46.705,40320,8,"Kg",40320
"S3","RWA","0574","Rwanda","SSD","South Sudan",2022,"Gross Imp.",1,0.205,190,8,"Kg",190
"S3","RWA","0574","Rwanda","SSD","South Sudan",2022,"Import",5,0.205,190,8,"Kg",190
"S3","RWA","0574","Rwanda","TUR","Turkey",2020,"Gross Imp.",1,248.043,298820,8,"Kg",298820
"S3","RWA","0574","Rwanda","TUR","Turkey",2020,"Import",5,248.043,298820,8,"Kg",298820
"S3","RWA","0574","Rwanda","TUR","Turkey",2021,"Gross Imp.",1,663.401,661900,8,"Kg",661900
"S3","RWA","0574","Rwanda","TUR","Turkey",2021,"Import",5,663.401,661900,8,"Kg",661900
"S3","RWA","0574","Rwanda","TUR","Turkey",2022,"Gross Imp.",1,177.837,167760,8,"Kg",167760
"S3","RWA","0574","Rwanda","TUR","Turkey",2022,"Import",5,177.837,167760,8,"Kg",167760
"S3","RWA","0574","Rwanda","TZA","Tanzania",2022,"Gross Imp.",1,0.032,15,8,"Kg",15
"S3","RWA","0574","Rwanda","TZA","Tanzania",2022,"Import",5,0.032,15,8,"Kg",15
"S3","RWA","0574","Rwanda","UGA","Uganda",2022,"Gross Imp.",1,3.154,2981,8,"Kg",2981
"S3","RWA","0574","Rwanda","UGA","Uganda",2022,"Import",5,3.154,2981,8,"Kg",2981
"S3","RWA","0574","Rwanda","WLD"," World",2020,"Gross Imp.",1,579.551,681463.6,8,"Kg",681464
"S3","RWA","0574","Rwanda","WLD"," World",2020,"Import",5,579.551,681463.6,8,"Kg",681464
"S3","RWA","0574","Rwanda","WLD"," World",2021,"Export",6,0,0,8,"Kg",0
"S3","RWA","0574","Rwanda","WLD"," World",2021,"Gross Exp.",2,0.131,40,8,"Kg",40
"S3","RWA","0574","Rwanda","WLD"," World",2021,"Gross Imp.",1,935.039,951717,8,"Kg",951717
"S3","RWA","0574","Rwanda","WLD"," World",2021,"Import",5,935.039,951717,8,"Kg",951717
"S3","RWA","0574","Rwanda","WLD"," World",2021,"Re-Export",3,0.131,40,8,"Kg",40
"S3","RWA","0574","Rwanda","WLD"," World",2022,"Export",6,0,0,8,"Kg",0
"S3","RWA","0574","Rwanda","WLD"," World",2022,"Gross Exp.",2,0.896,2520.5,8,"Kg",2521
"S3","RWA","0574","Rwanda","WLD"," World",2022,"Gross Imp.",1,1415.156,1238966.66,8,"Kg",1238967
"S3","RWA","0574","Rwanda","WLD"," World",2022,"Import",5,1415.156,1238966.66,8,"Kg",1238967
"S3","RWA","0574","Rwanda","WLD"," World",2022,"Re-Export",3,0.896,2520.5,8,"Kg",2521
"S3","RWA","0574","Rwanda","ZAF","South Africa",2022,"Gross Imp.",1,1114.712,962434.2,8,"Kg",962434
"S3","RWA","0574","Rwanda","ZAF","South Africa",2022,"Import",5,1114.712,962434.2,8,"Kg",962434
"S3","RWA","0574","Rwanda","ZAR","Congo, Dem. Rep.",2021,"Export",6,0,0,8,"Kg",0
"S3","RWA","0574","Rwanda","ZAR","Congo, Dem. Rep.",2021,"Gross Exp.",2,0.131,40,8,"Kg",40
"S3","RWA","0574","Rwanda","ZAR","Congo, Dem. Rep.",2021,"Re-Export",3,0.131,40,8,"Kg",40
"S3","RWA","0574","Rwanda","ZAR","Congo, Dem. Rep.",2022,"Export",6,0,0,8,"Kg",0
"S3","RWA","0574","Rwanda","ZAR","Congo, Dem. Rep.",2022,"Gross Exp.",2,0.896,2520.5,8,"Kg",2521
"S3","RWA","0574","Rwanda","ZAR","Congo, Dem. Rep.",2022,"Re-Export",3,0.896,2520.5,8,"Kg",2521
"S3","RWA","0574","Rwanda","ZMB","Zambia",2022,"Gross Imp.",1,0.043,38,8,"Kg",38
"S3","RWA","0574","Rwanda","ZMB","Zambia",2022,"Import",5,0.043,38,8,"Kg",38
"S3","RWA","0575","Rwanda","AFG","Afghanistan",2022,"Gross Imp.",1,0.53,1700,8,"Kg",1700
"S3","RWA","0575","Rwanda","AFG","Afghanistan",2022,"Import",5,0.53,1700,8,"Kg",1700
"S3","RWA","0575","Rwanda","ARE","United Arab Emirates",2020,"Gross Imp.",1,7.933,2719,8,"Kg",2719
"S3","RWA","0575","Rwanda","ARE","United Arab Emirates",2020,"Import",5,7.933,2719,8,"Kg",2719
"S3","RWA","0575","Rwanda","ARE","United Arab Emirates",2021,"Gross Imp.",1,5.165,5200,8,"Kg",5200
"S3","RWA","0575","Rwanda","ARE","United Arab Emirates",2021,"Import",5,5.165,5200,8,"Kg",5200
"S3","RWA","0575","Rwanda","ARE","United Arab Emirates",2022,"Gross Imp.",1,3.299,3672.56,8,"Kg",3673
"S3","RWA","0575","Rwanda","ARE","United Arab Emirates",2022,"Import",5,3.299,3672.56,8,"Kg",3673
"S3","RWA","0575","Rwanda","BEL","Belgium",2020,"Gross Imp.",1,16.718,4870.4,8,"Kg",4870
"S3","RWA","0575","Rwanda","BEL","Belgium",2020,"Import",5,16.718,4870.4,8,"Kg",4870
"S3","RWA","0575","Rwanda","BEL","Belgium",2021,"Gross Imp.",1,19.843,3897.93,8,"Kg",3898
"S3","RWA","0575","Rwanda","BEL","Belgium",2021,"Import",5,19.843,3897.93,8,"Kg",3898
"S3","RWA","0575","Rwanda","BEL","Belgium",2022,"Gross Imp.",1,10.058,2476.07,8,"Kg",2476
"S3","RWA","0575","Rwanda","BEL","Belgium",2022,"Import",5,10.058,2476.07,8,"Kg",2476
"S3","RWA","0575","Rwanda","CHN","China",2022,"Gross Imp.",1,0.033,23,8,"Kg",23
"S3","RWA","0575","Rwanda","CHN","China",2022,"Import",5,0.033,23,8,"Kg",23
"S3","RWA","0575","Rwanda","DEU","Germany",2021,"Gross Imp.",1,0.096,11,8,"Kg",11
"S3","RWA","0575","Rwanda","DEU","Germany",2021,"Import",5,0.096,11,8,"Kg",11
"S3","RWA","0575","Rwanda","DEU","Germany",2022,"Gross Imp.",1,0.744,244,8,"Kg",244
"S3","RWA","0575","Rwanda","DEU","Germany",2022,"Import",5,0.744,244,8,"Kg",244
"S3","RWA","0575","Rwanda","DNK","Denmark",2020,"Gross Imp.",1,2.692,378,8,"Kg",378
"S3","RWA","0575","Rwanda","DNK","Denmark",2020,"Import",5,2.692,378,8,"Kg",378
"S3","RWA","0575","Rwanda","DNK","Denmark",2021,"Gross Imp.",1,0.158,30,8,"Kg",30
"S3","RWA","0575","Rwanda","DNK","Denmark",2021,"Import",5,0.158,30,8,"Kg",30
"S3","RWA","0575","Rwanda","EGY","Egypt, Arab Rep.",2020,"Gross Imp.",1,1.235,500,8,"Kg",500
"S3","RWA","0575","Rwanda","EGY","Egypt, Arab Rep.",2020,"Import",5,1.235,500,8,"Kg",500
"S3","RWA","0575","Rwanda","EGY","Egypt, Arab Rep.",2021,"Gross Imp.",1,11.592,6251,8,"Kg",6251
"S3","RWA","0575","Rwanda","EGY","Egypt, Arab Rep.",2021,"Import",5,11.592,6251,8,"Kg",6251
"S3","RWA","0575","Rwanda","EGY","Egypt, Arab Rep.",2022,"Gross Imp.",1,55.195,20360.5,8,"Kg",20361
"S3","RWA","0575","Rwanda","EGY","Egypt, Arab Rep.",2022,"Import",5,55.195,20360.5,8,"Kg",20361
